========================================================================================================
b529 -- THE SUITE. ### **PRE-PUSH READING.** ### every arm exercised on both controls.
========================================================================================================
  arms in the (G2) block : 49 ; run here : 49 ; deferred : 1
  arm                                        LIVE  NEG   POS   verdict
  --------------------------------------------------------------------------------------------
  G-RECEIPT-IN-FULL                          PASS  PASS  FAIL  OK
  G-SCAN-CLEAN                               PASS  PASS  FAIL  OK
  G-SCAN-FLAGS-ZERO                          PASS  PASS  FAIL  OK
  G-STEPZERO-CENSUS                          PASS  PASS  FAIL  OK
  G-STEPZERO-PINS                            PASS  PASS  FAIL  OK
  G-REG-LOCKED-FIRST                         PASS  PASS  FAIL  OK
  G-LOCKGATE-EIGHT                           PASS  PASS  FAIL  OK
  G-SEAL-VERIFIES                            PASS  PASS  FAIL  OK
  G-ADDENDUM-SLOT-CONTENT-BOUNDED            PASS  PASS  FAIL  OK
  G-NUMBER-UNCLAIMED                         PASS  PASS  FAIL  OK
  G-NODEPOSIT                                PASS  PASS  FAIL  OK
  G-NOH2-MOVED                               PASS  PASS  FAIL  OK
  G-FOUR-LISTS-OPEN                          PASS  PASS  FAIL  OK
  G-TRAIL-APPEND-ONLY                        PASS  PASS  FAIL  OK
  G-INSTRUMENTS-UNEDITED                     PASS  PASS  FAIL  OK
  G-WRITELIST-KINDS                          PASS  PASS  FAIL  OK
  G-WRITELIST-SPANS-ACT                      PASS  PASS  FAIL  OK
  G-NOSTAGE-A-BY-DIFF                        PASS  PASS  FAIL  OK
  G-ARMS-DECLARED-EQ-RUN                     PASS  PASS  FAIL  OK
  G-ARMS-NO-SUBSTRING-VERDICT                PASS  PASS  FAIL  OK
  G-ARMS-NO-LIVE-LIMB                        PASS  PASS  FAIL  OK
  G-MUSTFAIL                                 PASS  PASS  FAIL  OK
  G-ARTEFACTS-NOT-COMMITTED                  PASS  PASS  FAIL  OK
  G-PUSHED-PREDICATE-THREE-CLAUSED           PASS  PASS  FAIL  OK
  G-PEEK-DECLARED                            PASS  PASS  FAIL  OK
  G-MODULE-NO-SORRY                          PASS  PASS  FAIL  OK
  G-PROFILE-WHOLE-STRING                     PASS  PASS  ###PASS ### DEFECTIVE
  G-STATEMENTS-PRINTED                       PASS  PASS  ###PASS ### DEFECTIVE
  G-LANE-SHUT                                PASS  PASS  FAIL  OK
  G-PRIORBANK-UNCHANGED                      PASS  PASS  FAIL  OK
  G-PRIOR-CLOSED-PUSHED                      PASS  PASS  FAIL  OK
  G-R139-ENTERED                             PASS  PASS  FAIL  OK
  G-INSTALLED-FROM-DRAFT                     PASS  PASS  FAIL  OK
  G-ATTEMPTS-BANKED                          PASS  PASS  FAIL  OK
  G-PRIOR-MODULES-UNTOUCHED                  PASS  PASS  FAIL  OK
  G-FARSMALL-A-PROP                          PASS  PASS  FAIL  OK
  G-CONSTANTS-PRINTED                        PASS  PASS  FAIL  OK
  G-VENDORED-REFS-READ                       PASS  PASS  FAIL  OK
  G-HYPOTHESIS-VALUE                         PASS  PASS  FAIL  OK
  G-GRADES-BY-READING                        PASS  PASS  FAIL  OK
  G-F2-MARKED                                PASS  PASS  FAIL  OK
  G-TABLE-ROW                                PASS  PASS  FAIL  OK
  G-N1-SCORED                                PASS  PASS  FAIL  OK
  G-N2-SCORED                                PASS  PASS  FAIL  OK
  G-N3-SCORED                                PASS  PASS  FAIL  OK
  G-SEAT-EXPECTATIONS-SCORED                 PASS  PASS  FAIL  OK
  G-CORPUS-SCOPE                             PASS  PASS  FAIL  OK
  G-CORR-APPEND-ONLY                         PASS  PASS  FAIL  OK
  G-MIRROR-TAGGED-BUILD                      DEFERRED TO POST-PUSH

  ### files written that NO (W) GLOB COVERS : 0 
  ### ### **(R107): THE GENERATOR WAS RE-RUN BY THIS SUITE.** ### exit 0.
  ###   rows added 20 ; rows gone 0 ; grade-or-profile changed 0
  ### G-PRIORBANK-UNCHANGED checked 4219 prior banks by time, none excepted.
  ### ### **VACUOUS ARMS : NONE.**
  ### ### **THE b475 LOG EXCEPTION STAYS RETIRED.** ### b481-b489 excused
  ###   `b475_zeta23_build.log` as still being appended to by a live process. ### b490
  ### found pid 27508 ABSENT at two readings sixty seconds apart and the file cold, and
  ### b491 read the log COMPLETE. ### **AN EXCEPTION IS A CLAIM ABOUT THE WORLD AND
  ### DECAYS LIKE ONE.** ### b487`s second exclusion is not carried either: it was
  ### b485`s bank, which (R97) directed b487 to append to. ### The arm runs at FULL WIDTH.
  ### ### **ARMS RUN : 48. ### LIVE PASSING : 48. ### LIVE FAILING : 0 .**
  ### ### **NEGATIVE-CONTROL FAILURES : 0. ### POSITIVE-CONTROL PASSES : 2 ['G-PROFILE-WHOLE-STRING', 'G-STATEMENTS-PRINTED'].**
  ### ### **VERDICT : NOT CLEAN**
========================================================================================================
