====================================================================================================
b439_checks.py -- THE CONTROL SUITE. ### EVERY ARM DECLARED ON THE LOCKED FACE.
  reading : PRE-PUSH
====================================================================================================
  ### THE CHANGED PATHS, BY SIDE OF THIS ACT`S OWN START:
      this act`s unlisted writes : 0 ; inherited dirty : 0
      new act-tool files written : 6 ['b439_checks.py', 'b439_components.py', 'b439_desk_bank.py', 'b439_extract.py', 'b439_reg_gate.py', 'b439_regspec.py']
      the face`s declared cap    : 6

  arms declared on the face : 96
  arms run by this suite    : 96
  declared and NOT run      : 0 
  run and NOT declared      : 0 

  G-RECEIPT-IN-FULL                PASS the paste carries its own part marker and the face says IN FULL
  G-SCAN-CLEAN                     PASS the scan`s verdict line reads 0 hits
  G-STEPZERO-CENSUS                PASS both census records read TOTAL MISSING 0
  G-STEPZERO-PINS                  PASS the pin record reads 0 hard-failing
  G-GUARD-DEFERRED-SAID            PASS the face says the guard runs at the close
  G-SURVEY-NOMISS                  PASS the survey printed its own miss count and it is 0
  G-REG-LOCKED-FIRST               PASS the lock-gate record carries the digest the face`s lock block does
  G-LOCKGATE-EIGHT                 PASS the lock gate read eight gates, all passing, four by digest
  G-SEAL-VERIFIES                  PASS the seal recomputes by its own tool and all four gates are stamped
  G-PRIOR-CLOSED                   PASS the face states the prior act closed, with its row
  G-NORULING-RATIFIED              PASS this paste ratifies no new ruling and the face says so
  G-ADDENDUM-SLOT-DECLARED         PASS (R50)`s addendum slot is named in the write list
  G-ADDENDUM-SLOT-CONTENT-BOUNDED  PASS and its content is bounded to a verbatim quotation
  G-LANES-PARKED                   PASS both instrument lanes are parked
  G-TRIGGER-RESTATED-NOT-ACTED     PASS the fired disproof-lane trigger is restated, not acted on
  G-SCALED-VARIABLE-QUOTED         PASS the scaled variable is quoted at the atlas`s own line
  G-THREE-WIDTHS-QUOTED            PASS the three exponents are quoted at their own line
  G-BOTH-MOMENTS-QUOTED            PASS both moment conditions are quoted
  G-WHAT-SCALES-NAMED              PASS what is scale-invariant and what is not are each named
  G-COEFFS-PRINTED-AT-RADII        PASS the coefficients are printed at six radii
  G-PROFILE-ZERO-LOCATED-AT-RADII  PASS and every zero of the profile is printed at each
  G-DERIVATION-AND-MEASUREMENT-BOTH PASS both a derivation and a measurement are given
  G-C1-VERDICT-PRINTED             PASS Component 1 returns one of the three verdicts
  G-SPREAD-ATTRIBUTED              PASS b438`s spread is attributed to the grid or to the object, and the comparison is against the zero the crossings actually sit on
  G-WEIGHT-TABLE-PRINTED           PASS the weight is printed at every prime power the instrument admits
